"Maxprof_w","pc","pw","TotRevDeficitAndLease","TotRevAllFallow","TotRevAllCrop","Bestalternative","AddlRevFromDL","optimalirrigation","optimallease","production","production_lost","crop","optimalleasepercentage","productionlostepercentage"
478,0.1,0.21,1251.7685408,879.005,1251.078207325,1251.078207325,0.690333474999761,478,6.5,12504.035408,6.74666525000066,"corn",1.34158926728586,0.0539268065777125
477.5,0.1,0.22,1251.835209375,883.85,1251.078207325,1251.078207325,0.757002049999983,477.5,7,12502.95209375,7.82997949999844,"corn",1.44478844169247,0.0625858515810946
477.5,0.1,0.23,1251.905209375,888.695,1251.078207325,1251.078207325,0.827002049999919,477.5,7,12502.95209375,7.82997949999844,"corn",1.44478844169247,0.0625858515810946
477,0.1,0.24,1251.9789082,893.54,1251.078207325,1251.078207325,0.900700875000211,477,7.5,12501.789082,8.99299124999743,"corn",1.54798761609907,0.0718819271037088
476.5,0.1,0.25,1252.054655725,898.385,1251.078207325,1251.078207325,0.976448399999754,476.5,8,12500.54655725,10.2355160000006,"corn",1.65118679050568,0.0818135584176286
476.5,0.1,0.26,1252.134655725,903.23,1251.078207325,1251.078207325,1.05644839999968,476.5,8,12500.54655725,10.2355160000006,"corn",1.65118679050568,0.0818135584176286
476,0.1,0.27,1252.2174704,908.075,1251.078207325,1251.078207325,1.13926307499923,476,8.5,12499.224704,11.5573692500075,"corn",1.75438596491228,0.0923792707949006
476,0.1,0.28,1252.3024704,912.92,1251.078207325,1251.078207325,1.22426307499927,476,8.5,12499.224704,11.5573692500075,"corn",1.75438596491228,0.0923792707949006
475.5,0.1,0.29,1252.392370675,917.765,1251.078207325,1251.078207325,1.31416334999994,475.5,9,12497.82370675,12.9583664999991,"corn",1.85758513931889,0.103577589507423
475,0.1,0.3,1252.484375,922.61,1251.078207325,1251.078207325,1.40616767499978,475,9.5,12496.34375,14.4383232500004,"corn",1.96078431372549,0.115407039827444
475,0.1,0.31,1252.579375,927.455,1251.078207325,1251.078207325,1.50116767499981,475,9.5,12496.34375,14.4383232500004,"corn",1.96078431372549,0.115407039827444
474.5,0.1,0.32,1252.678501825,932.3,1251.078207325,1251.078207325,1.60029450000025,474.5,10,12494.78501825,15.9970549999962,"corn",2.0639834881321,0.127866147026894
474,0.1,0.33,1252.7797696,937.145,1251.078207325,1251.078207325,1.70156227499933,474,10.5,12493.147696,17.634377250004,"corn",2.1671826625387,0.140953436377963
474,0.1,0.34,1252.8847696,941.99,1251.078207325,1251.078207325,1.80656227499935,474,10.5,12493.147696,17.634377250004,"corn",2.1671826625387,0.140953436377963
473.5,0.1,0.35,1252.993196775,946.835,1251.078207325,1251.078207325,1.91498944999967,473.5,11,12491.43196775,19.3501055000015,"corn",2.2703818369453,0.154667433152521
473,0.1,0.36,1253.1038018,951.68,1251.078207325,1251.078207325,2.02559447499971,473,11.5,12489.638018,21.1440552500026,"corn",2.37358101135191,0.16900666262273
473,0.1,0.37,1253.2188018,956.525,1251.078207325,1251.078207325,2.14059447499972,473,11.5,12489.638018,21.1440552500026,"corn",2.37358101135191,0.16900666262273
472.5,0.1,0.38,1253.336603125,961.37,1251.078207325,1251.078207325,2.25839580000002,472.5,12,12487.76603125,23.0160419999993,"corn",2.47678018575851,0.183969650060576
472,0.1,0.39,1253.4566192,966.215,1251.078207325,1251.078207325,2.37841187499976,472,12.5,12485.816192,24.965881250002,"corn",2.57997936016512,0.199554920738192
472,0.1,0.4,1253.5816192,971.06,1251.078207325,1251.078207325,2.50341187499976,472,12.5,12485.816192,24.965881250002,"corn",2.57997936016512,0.199554920738192
471.5,0.1,0.41,1253.708868475,975.905,1251.078207325,1251.078207325,2.63066114999924,471.5,13,12483.78868475,26.9933885000064,"corn",2.68317853457172,0.215760999927594
471.5,0.1,0.42,1253.838868475,980.75,1251.078207325,1251.078207325,2.76066114999935,471.5,13,12483.78868475,26.9933885000064,"corn",2.68317853457172,0.215760999927594
471,0.1,0.43,1253.9733694,985.595,1251.078207325,1251.078207325,2.89516207499946,471,13.5,12481.683694,29.0983792500047,"corn",2.78637770897833,0.23258641290077
470.5,0.1,0.44,1254.110140425,990.44,1251.078207325,1251.078207325,3.03193310000006,470.5,14,12479.50140425,31.2806689999998,"corn",2.88957688338493,0.250029684929791
470.5,0.1,0.45,1254.250140425,995.285,1251.078207325,1251.078207325,3.17193309999993,470.5,14,12479.50140425,31.2806689999998,"corn",2.88957688338493,0.250029684929791
470,0.1,0.46,1254.3942,1000.13,1251.078207325,1251.078207325,3.31599267500019,470,14.5,12477.242,33.5400732499984,"corn",2.99277605779154,0.268089341286763
469.5,0.1,0.47,1254.540566575,1004.975,1251.078207325,1251.078207325,3.46235924999951,469.5,15,12474.90566575,35.8764075000036,"corn",3.09597523219814,0.28676390724376
469.5,0.1,0.48,1254.690566575,1009.82,1251.078207325,1251.078207325,3.6123592499996,469.5,15,12474.90566575,35.8764075000036,"corn",3.09597523219814,0.28676390724376
469,0.1,0.49,1254.8442586,1014.665,1251.078207325,1251.078207325,3.76605127499988,469,15.5,12472.492586,38.2894872500001,"corn",3.19917440660475,0.306051908072709
468.5,0.1,0.5,1255.000294525,1019.51,1251.078207325,1251.078207325,3.9220871999994,468.5,16,12470.00294525,40.7791280000056,"corn",3.30237358101135,0.325951869045803
468.5,0.1,0.51,1255.160294525,1024.355,1251.078207325,1251.078207325,4.08208719999948,468.5,16,12470.00294525,40.7791280000056,"corn",3.30237358101135,0.325951869045803
468,0.1,0.52,1255.3236928,1029.2,1251.078207325,1251.078207325,4.24548547499944,468,16.5,12467.436928,43.3451452500049,"corn",3.40557275541796,0.346462315434968
467.5,0.1,0.53,1255.489471875,1034.045,1251.078207325,1251.078207325,4.41126455000017,467.5,17,12464.79471875,45.9873544999973,"corn",3.50877192982456,0.367581772512251
467.5,0.1,0.54,1255.659471875,1038.89,1251.078207325,1251.078207325,4.58126455000024,467.5,17,12464.79471875,45.9873544999973,"corn",3.50877192982456,0.367581772512251
467,0.1,0.55,1255.8326502,1043.735,1251.078207325,1251.078207325,4.75444287500022,467,17.5,12462.076502,48.7055712499969,"corn",3.61197110423117,0.389308765549813
466.5,0.1,0.56,1256.008246225,1048.58,1251.078207325,1251.078207325,4.93003889999954,466.5,18,12459.28246225,51.4996110000029,"corn",3.71517027863777,0.411641819819698
466.5,0.1,0.57,1256.188246225,1053.425,1251.078207325,1251.078207325,5.11003889999961,466.5,18,12459.28246225,51.4996110000029,"corn",3.71517027863777,0.411641819819698
